hood_id,population,income
1,33300,104500
2,31345,86200
3,9850,101300
4,10375,90000
5,9355,94600
6,22005,99400
7,22445,113400
8,10005,123100
9,15190,197600
10,11170,235600
11,18450,127400
12,10365,148600
13,11865,97900
15,8855,316000
16,25650,154600
18,11345,92700
19,11360,109100
20,12595,129000
21,12185,94900
22,16955,88400
23,11290,114200
24,21145,74700
25,30020,84200
27,28255,87500
28,9390,83500
29,9845,105700
30,17495,89400
31,16625,95700
32,21285,125200
33,17620,124500
34,15955,116800
35,25705,92800
36,23805,95300
37,17160,105700
38,15910,152400
39,22145,266000
40,16960,220600
41,8940,519500
42,27155,144600
43,17365,84900
44,22530,79700
46,15220,106300
47,26775,99100
48,16345,105900
49,12085,122600
50,15345,109400
52,22330,107700
53,19840,91100
54,18405,105500
55,20400,76600
56,16535,284400
57,10955,93900
58,9160,126700
59,17065,130400
60,7915,116500
61,15025,79100
62,21840,121700
63,21510,197200
64,12205,131000
65,14120,119100
66,9305,137600
67,7680,147400
68,11290,173200
69,7475,120500
70,27815,135400
71,11020,120000
72,12750,83400
73,21490,96800
74,18535,74100
78,18120,91600
79,6435,130200
80,13120,131800
81,15415,133000
83,11215,100600
84,15485,110900
85,20495,76300
86,14610,124000
87,22665,160600
88,21855,118400
89,10120,179000
90,14010,119300
91,10680,94700
92,13200,117300
94,12800,129800
95,29300,184000
96,11350,270400
97,12905,204800
98,20080,334000
99,16370,184200
100,12410,167000
101,10860,284400
102,12290,170200
103,14960,365600
105,14675,268400
106,13845,146200
107,20710,102500
108,14575,96800
109,10015,102500
110,11390,92300
111,22235,87300
112,6260,79500
113,18675,80500
114,7965,165600
115,13055,81700
116,22765,95700
118,27205,93000
119,28345,98700
120,26840,104500
121,13705,72200
122,22700,131400
123,16130,117800
124,17110,83200
125,13365,85200
126,24305,89700
128,24170,93600
129,27540,97100
130,23980,95000
133,13380,155000
134,12625,135000
135,17660,98200
136,28140,90200
138,22535,85300
139,16520,88700
140,9680,121800
141,27085,90500
142,26580,86500
143,20670,131200
144,24940,127000
145,17320,99000
146,26095,97700
147,21545,92300
148,21495,96700
149,13965,131200
150,20510,93600
151,20160,88300
152,15485,136600
153,13790,102700
154,21420,89600
155,17970,97600
156,18685,86400
157,10725,105100
158,23460,147800
159,23600,97400
160,17045,111800
161,22605,110700
162,13170,136400
163,19915,112300
164,25570,124500
165,28135,110200
166,31285,118600
167,22320,79300
168,17700,96300
169,16670,94000
170,12645,99800
171,23180,103700
172,12380,111500
173,15885,85400
174,22735,103500
